source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Crypto,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons DBCP,7,2,0.285714
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Daemon,3,2,0.666667
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Exec,5,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons FileUpload,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons IO,15,6,0.400000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Imaging,21,7,0.333333
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons JCS,12,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons JEXL,3,2,0.666667
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Lang,14,3,0.214286
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Logging,5,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Math,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Net,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Numbers,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Pool,3,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons RNG,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons Text,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Commons VFS,6,3,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Community Development,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Community Support ,158,158,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Compass,128,10,0.078125
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Confluence Cloud,378,32,0.084656
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Confluence Copy Space Plugin,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Confluence Data Center,244,25,0.102459
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Confluence Server and Data Center,11,11,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Container Tools,48,3,0.062500
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Content Gateway,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Continuous Productization DevOps,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Core Server,2683,526,0.196049
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,CoreOS OCP,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Cost Management,55,30,0.545455
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Crowd Data Center,24,3,0.125000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Crucible,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Crunch (Retired),1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,DAOS,297,297,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Daffodil,16,10,0.625000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Dashboard,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Data Foundation Bugs,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Database as a Service,3,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Debezium,322,130,0.403727
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Derby,7,7,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Derby (Retired),3,3,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Dev ,72,72,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Directory ApacheDS,6,5,0.833333
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Directory Client API,4,2,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Directory Kerberos,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Directory Studio,1,1,1.000000
